file name,proportion_weight,filing_time,cik
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2021_0001014473-21-000015.json,0.0008018490911840539,2021-04-22,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2021_0001014473-21-000023.json,0.0010574533249863504,2021-07-22,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2021_0001014473-21-000027.json,0.0005894522952428859,2021-10-28,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2022_0001014473-22-000016.json,0.0004393109592474874,2022-04-28,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2022_0001014473-22-000023.json,0.0005185914534423456,2022-07-28,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2022_0001014473-22-000027.json,0.00037933756206092996,2022-10-27,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2023_0001014473-23-000019.json,0.00041153190182703853,2023-04-27,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2023_0001014473-23-000033.json,0.0005499599225040996,2023-07-27,1014473
E:/ALLEXTRACTED_FILINGS\1015780_10Q_2019_0001015780-19-000096.json,0.0006907989131065285,2019/5/2,1015780
E:/ALLEXTRACTED_FILINGS\1015780_10Q_2019_0001015780-19-000204.json,0.0006387689472121654,2019-10-31,1015780
E:/ALLEXTRACTED_FILINGS\1015780_10Q_2020_0001015780-20-000106.json,0.0010141716915100488,2020-05-06,1015780
E:/ALLEXTRACTED_FILINGS\1015780_10Q_2020_0001015780-20-000166.json,0.0010012309990506205,2020-08-05,1015780
E:/ALLEXTRACTED_FILINGS\101778_10Q_2019_0000101778-19-000070.json,0.0005027312348025923,2019/5/2,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2019_0000101778-19-000113.json,0.0005291152416615001,2019-11-07,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2020_0000101778-20-000081.json,0.0011446098209243495,2020-05-07,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2020_0000101778-20-000103.json,0.001207343204507026,2020-08-06,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2020_0000101778-20-000111.json,0.0010875209737075985,2020-11-05,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2021_0000101778-21-000083.json,0.0007864785327114709,2021-05-06,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2021_0000101778-21-000099.json,0.0008610766001380057,2021-08-05,101778
E:/ALLEXTRACTED_FILINGS\101778_10Q_2021_0000101778-21-000109.json,0.0009306385135274598,2021-11-04,101778
