file name,number of words
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1041061_0001041061-19-000010_1.txt,1893837
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_10456_0001564590-19-003727_1.txt,2902488
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1045810_0001045810-19-000023_1.txt,929117
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1047862_0001047862-19-000035_1.txt,2269672
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_107263_0000107263-19-000007_1.txt,1949428
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1090727_0001090727-19-000006_1.txt,2530153
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1093557_0001093557-19-000041_1.txt,1017412
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1123360_0001123360-19-000008_1.txt,1240262
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1124198_0001628280-19-001658_1.txt,1287037
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1136893_0001136893-19-000008_1.txt,1089027
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1164727_0001558370-19-000806_1.txt,5236425
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1286681_0001193125-19-046191_1.txt,1186415
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1365135_0001558370-19-000848_1.txt,2148797
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1418091_0001564590-19-003523_1.txt,1580952
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1489393_0001489393-19-000011_1.txt,2250335
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_21344_0000021344-19-000014_1.txt,2219791
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_21665_0000021665-19-000003_1.txt,1526337
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_313616_0000313616-19-000035_1.txt,1633843
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_313927_0001564590-19-003587_1.txt,1732400
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_33185_0000033185-19-000007_1.txt,1505349
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_37996_0000037996-19-000012_1.txt,2332668
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_4281_0000004281-19-000031_1.txt,1575376
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_4447_0001564590-19-003671_1.txt,2742346
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_4904_0000004904-19-000009_1.txt,9327355
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_49071_0000049071-19-000023_1.txt,1739976
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_62709_0000062709-19-000010_1.txt,1944804
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_721683_0001558370-19-000862_1.txt,1807729
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_75362_0001564590-19-003670_1.txt,3455133
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_759944_0000759944-19-000024_1.txt,3014927
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_797468_0000797468-19-000004_1.txt,1644019
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_79879_0000079879-19-000008_1.txt,1650616
