,0
1532,0001751788
1533,0000074208
1534,0000074208
1535,0000074208
1536,0000074208
1537,0000074208
1538,0000107263
1539,0000107263
1540,0000107263
1541,0000107263
1542,0000107263
1543,0000101829
1544,0000101829
1545,0000101829
1546,0000101829
1547,0000086312
1548,0000086312
1549,0000086312
1550,0000086312
1551,0000086312
1552,0000009389
1553,0000009389
1554,0000040987
1555,0000040987
1556,0000040987
1557,0000040987
1558,0000040987
1559,0000773840
1560,0000773840
1561,0000773840
1562,0000773840
1563,0000773840
1564,0001618921
1565,0001618921
1566,0001618921
1567,0001618921
1568,0001618921
1569,0000012927
1570,0000012927
1571,0000012927
1572,0000012927
1573,0000012927
1574,0001841666
1575,0001841666
1576,0001262039
1577,0001262039
1578,0001262039
1579,0001262039
1580,0001262039
1581,0000040545
1582,0000040545
1583,0000040545
1584,0000040545
1585,0000040545
1586,0000920522
1587,0000920522
1588,0000920522
1589,0000920522
1590,0000920522
1591,0001585689
1592,0001585689
1593,0001585689
1594,0001585689
1595,0001585689
1596,0000723531
1597,0000723531
1598,0000723531
1599,0000723531
1600,0000723531
1601,0000896878
1602,0000896878
1603,0000896878
1604,0000896878
1605,0000896878
1606,0001666700
1607,0001666700
1608,0001666700
1609,0001666700
1610,0001666700
1611,0000016732
1612,0000016732
1613,0000016732
1614,0000016732
1615,0000016732
1616,0000038777
1617,0000038777
1618,0000038777
1619,0000038777
1620,0000038777
1621,0000106040
1622,0000106040
1623,0000106040
1624,0000106040
1625,0000106040
1626,0000875045
1627,0000875045
1628,0000875045
1629,0000875045
1630,0000875045
1631,0000109380
1632,0000109380
1633,0000109380
1634,0000109380
1635,0000109380
1636,0000820313
1637,0000820313
1638,0000820313
1639,0000820313
1640,0000820313
1641,0000320335
1642,0000320335
1643,0000320335
1644,0000320335
1645,0000320335
1646,0001705696
1647,0001705696
1648,0000106640
1649,0000106640
1650,0000106640
1651,0000106640
1652,0000106640
1653,0000030625
1654,0000030625
1655,0001045810
1656,0001045810
1657,0001045810
1658,0001045810
1659,0001045810
1660,0000833444
1661,0000833444
1662,0000833444
1663,0000833444
1664,0000833444
1665,0001164727
1666,0001164727
1667,0001164727
1668,0001164727
1669,0001164727
1670,0000885639
1671,0000318154
1672,0000318154
1673,0000318154
1674,0000318154
1675,0000318154
1676,0000029905
1677,0000029905
1678,0000029905
1679,0000029905
1680,0000029905
1681,0001755672
1682,0001755672
1683,0001755672
1684,0001755672
1685,0000058492
1686,0000058492
1687,0000100517
1688,0000100517
1689,0000100517
1690,0000100517
1691,0000100517
1692,0001050915
1693,0001050915
1694,0001050915
1695,0001050915
1696,0001050915
1697,0000731766
1698,0000731766
1699,0000731766
1700,0000731766
1701,0000731766
1702,0001555280
1703,0001555280
1704,0001555280
1705,0001555280
1706,0001555280
1707,0000004447
1708,0000004447
1709,0000004447
1710,0000004447
1711,0000004447
1712,0000920760
1713,0000920760
1714,0000920760
1715,0000920760
1716,0000920760
1717,0001024305
1718,0001021860
1719,0001021860
1720,0000915912
1721,0000915912
1722,0000915912
1723,0000915912
1724,0000915912
1725,0001336920
1726,0001336920
1727,0001336920
1728,0001336920
1729,0001336920
1730,0001467858
1731,0001467858
1732,0001467858
1733,0001467858
1734,0001467858
1735,0001744489
1736,0001744489
1737,0001744489
1738,0001744489
1739,0001744489
1740,0001000697
1741,0001000697
1742,0001000697
1743,0001000697
1744,0001000697
1745,0000315189
1746,0000315189
1747,0000315189
1748,0000315189
1749,0000315189
1750,0001133421
1751,0001133421
1752,0001133421
1753,0001133421
1754,0001133421
1755,0000874716
1756,0000874716
1757,0000874716
1758,0000874716
1759,0000874716
1760,0000858877
1761,0000858877
1762,0000858877
1763,0000858877
1764,0000858877
1765,0000891103
1766,0000891103
1767,0000891103
1768,0000064803
1769,0000064803
1770,0000064803
1771,0000064803
1772,0000064803
1773,0000040533
1774,0000040533
1775,0000040533
1776,0000040533
1777,0000040533
1778,0000008818
1779,0000008818
1780,0000008818
1781,0000008818
1782,0000008818
1783,0001383312
1784,0001383312
1785,0001383312
1786,0001383312
1787,0001383312
1788,0000021344
1789,0000021344
1790,0000021344
1791,0000021344
1792,0000021344
1793,0000914208
1794,0000914208
1795,0000914208
1796,0000914208
1797,0000914208
1798,0000813828
1799,0000813828
1800,0000004962
1801,0000004962
1802,0000004962
1803,0000004962
1804,0000004962
1805,0000798354
1806,0001601046
1807,0001601046
1808,0001601046
1809,0001601046
1810,0001601046
1811,0001730168
1812,0001730168
1813,0001730168
1814,0001730168
1815,0001730168
1816,0001035267
1817,0001035267
1818,0001035267
1819,0001035267
1820,0001035267
1821,0000036270
1822,0000036270
1823,0000036270
1824,0000036270
1825,0000036270
1826,0001035443
1827,0001035443
1828,0001035443
1829,0001035443
1830,0001035443
1831,0000046080
1832,0000046080
1833,0000046080
1834,0000046080
1835,0000046080
1836,0000712515
1837,0000712515
1838,0000712515
1839,0000712515
1840,0000712515
1841,0000059558
1842,0000059558
1843,0000059558
1844,0000059558
1845,0000858470
1846,0000858470
1847,0000858470
1848,0000878927
1849,0000878927
1850,0000878927
1851,0000878927
1852,0000878927
1853,0001109357
1854,0001109357
1855,0001109357
1856,0001109357
1857,0001109357
1858,0001048911
1859,0001048911
1860,0001048911
1861,0001048911
1862,0001048911
1863,0001530721
1864,0001564708
1865,0001564708
1866,0001564708
1867,0001564708
1868,0001564708
1869,0001374310
1870,0001374310
1871,0001374310
1872,0001374310
