,0
1235,20200805
1236,20200226
1237,20210301
1238,20230222
1239,20190228
1240,20220224
1241,20220127
1242,20230126
1243,20200128
1244,20210128
1245,20190125
1246,20220208
1247,20230214
1248,20200211
1249,20210210
1250,20190211
1251,20190208
1252,20210129
1253,20200204
1254,20220203
1255,20230227
1256,20200213
1257,20220215
1258,20230209
1259,20190219
1260,20210222
1261,20230222
1262,20210224
1263,20190228
1264,20200228
1265,20220223
1266,20230223
1267,20220224
1268,20201204
1269,20231206
1270,20221206
1271,20191206
1272,20211210
1273,20200806
1274,20220805
1275,20190806
1276,20210806
1277,20230804
1278,20200213
1279,20230207
1280,20220208
1281,20210209
1282,20190214
1283,20220225
1284,20200302
1285,20230227
1286,20210226
1287,20190228
1288,20210224
1289,20200226
1290,20220223
1291,20190227
1292,20230222
1293,20230227
1294,20200220
1295,20210223
1296,20220222
1297,20190222
1298,20210527
1299,20230525
1300,20190524
1301,20200527
1302,20220526
1303,20210218
1304,20220217
1305,20190220
1306,20230216
1307,20200220
1308,20230413
1309,20200421
1310,20210420
1311,20190419
1312,20220414
1313,20210226
1314,20200818
1315,20230815
1316,20220824
1317,20210817
1318,20190820
1319,20190221
1320,20230216
1321,20210218
1322,20220217
1323,20200218
1324,20190809
1325,20230811
1326,20200810
1327,20220812
1328,20210810
1329,20210219
1330,20200205
1331,20190207
1332,20220210
1333,20230223
1334,20230228
1335,20190614
1336,20200225
1337,20230223
1338,20190222
1339,20220223
1340,20210223
1341,20190222
1342,20200302
1343,20230224
1344,20210223
1345,20220225
1346,20190219
1347,20230228
1348,20220222
1349,20200218
1350,20210223
1351,20210212
1352,20190213
1353,20200214
1354,20220211
1355,20230216
1356,20230222
1357,20200302
1358,20210222
1359,20220223
1360,20200228
1361,20210222
1362,20190225
1363,20220222
1364,20230227
1365,20220222
1366,20190221
1367,20210218
1368,20200220
1369,20230221
1370,20220223
1371,20210217
1372,20200221
1373,20230223
1374,20190222
1375,20231121
1376,20221122
1377,20191126
1378,20211123
1379,20201124
1380,20200213
1381,20220210
1382,20230209
1383,20190207
1384,20210211
1385,20230214
1386,20220216
1387,20200211
1388,20210209
1389,20190212
1390,20210225
1391,20190222
1392,20230223
1393,20220224
1394,20200221
1395,20200320
1396,20230310
1397,20190327
1398,20220315
1399,20210316
1400,20210331
1401,20200327
1402,20190403
1403,20230329
1404,20220330
1405,20190301
1406,20200228
1407,20220225
1408,20210226
1409,20230216
1410,20221118
1411,20191115
1412,20231117
1413,20201112
1414,20211119
1415,20220223
1416,20190221
1417,20200220
1418,20230227
1419,20210222
1420,20200206
1421,20230209
1422,20190205
1423,20210211
1424,20220210
1425,20210825
1426,20220824
1427,20190823
1428,20230824
1429,20200826
1430,20190311
1431,20200303
1432,20221108
1433,20231108
1434,20211109
1435,20201110
1436,20191112
1437,20230203
1438,20220204
1439,20200207
1440,20190208
1441,20210205
1442,20220214
1443,20190304
1444,20210219
1445,20200302
1446,20210217
1447,20230222
1448,20220223
1449,20200219
1450,20190221
1451,20230622
1452,20200619
1453,20190621
1454,20220623
1455,20211025
1456,20190222
1457,20210226
1458,20230224
1459,20200302
1460,20220225
1461,20220210
1462,20200213
1463,20210211
1464,20190215
1465,20230209
1466,20190222
1467,20220218
1468,20230217
1469,20200221
1470,20210219
1471,20230214
1472,20200218
1473,20220217
1474,20190219
1475,20210218
1476,20190227
1477,20210224
1478,20200226
1479,20230223
1480,20220225
1481,20230208
1482,20210218
1483,20220209
1484,20190212
1485,20200211
1486,20190228
1487,20220218
1488,20230217
1489,20210212
1490,20200214
1491,20190215
1492,20200220
1493,20190227
1494,20230131
1495,20210212
1496,20220203
1497,20210210
1498,20230215
1499,20190206
1500,20220216
1501,20200212
1502,20210209
1503,20220208
1504,20230207
1505,20191028
1506,20221024
1507,20211025
1508,20201026
1509,20231024
1510,20210218
1511,20220217
1512,20230216
1513,20200213
1514,20220224
1515,20190228
1516,20230223
1517,20200228
1518,20210226
1519,20190402
1520,20200401
1521,20210330
1522,20230328
1523,20220329
1524,20200214
1525,20210216
1526,20190215
1527,20230215
1528,20220215
1529,20210205
1530,20200207
1531,20230201
1532,20220204
1533,20200218
1534,20190219
1535,20230213
1536,20220215
1537,20210218
1538,20220228
1539,20190221
1540,20230227
1541,20200224
1542,20210224
1543,20210208
1544,20220211
1545,20230207
1546,20200206
1547,20220217
1548,20230216
1549,20210211
1550,20190214
1551,20200213
1552,20220216
1553,20230221
1554,20210219
1555,20230223
1556,20190225
1557,20200221
1558,20220217
1559,20200214
1560,20190208
1561,20220211
1562,20230210
1563,20210212
1564,20211014
1565,20231012
1566,20201015
1567,20191028
1568,20221013
1569,20220131
1570,20230127
1571,20210201
1572,20200131
1573,20190208
1574,20220222
1575,20230223
1576,20190227
1577,20210219
1578,20200226
1579,20220225
1580,20230224
1581,20190226
1582,20230210
1583,20200224
1584,20220211
1585,20210212
1586,20220225
1587,20210219
1588,20200220
1589,20190221
1590,20230223
1591,20220216
1592,20200211
1593,20210217
1594,20190213
1595,20230209
1596,20230714
1597,20200717
1598,20210716
1599,20190724
1600,20220715
1601,20210908
1602,20200831
1603,20220902
1604,20190830
1605,20230901
1606,20230215
1607,20190211
1608,20200214
1609,20210212
1610,20220211
1611,20220922
1612,20190926
1613,20210923
1614,20201026
1615,20230921
1616,20191112
1617,20211119
1618,20221114
1619,20231114
1620,20201123
1621,20200828
1622,20190827
1623,20220825
1624,20230822
1625,20210827
1626,20210203
1627,20220203
1628,20190206
1629,20230215
1630,20200206
1631,20230223
1632,20200226
1633,20220225
1634,20190226
1635,20210225
1636,20200212
1637,20230208
1638,20210210
1639,20220209
1640,20190213
1641,20220224
1642,20200227
1643,20210225
1644,20230223
1645,20190301
1646,20230223
1647,20220223
1648,20220210
1649,20190212
1650,20230210
1651,20200211
1652,20210211
1653,20200218
1654,20190220
1655,20230224
1656,20210226
1657,20220318
1658,20190221
1659,20200220
1660,20231214
1661,20221115
1662,20211115
1663,20191121
1664,20201116
1665,20230223
1666,20210218
1667,20220224
1668,20190221
1669,20200220
1670,20190322
1671,20220216
1672,20200212
1673,20190213
1674,20230209
1675,20210209
1676,20190215
1677,20210212
1678,20220211
1679,20200214
1680,20230210
1681,20200214
1682,20230209
1683,20210211
1684,20220210
1685,20190227
1686,20200220
1687,20220218
1688,20210301
1689,20190228
1690,20230216
1691,20200225
1692,20220225
1693,20230223
1694,20210301
1695,20190228
1696,20200228
1697,20210301
1698,20230224
1699,20200214
1700,20190212
1701,20220215
1702,20200213
1703,20220215
1704,20230214
1705,20210216
1706,20190214
1707,20230224
1708,20200220
1709,20210301
1710,20220301
1711,20190221
1712,20230126
1713,20190128
1714,20200127
1715,20210122
1716,20220128
1717,20190828
1718,20200213
1719,20190214
1720,20200221
1721,20220225
1722,20210225
1723,20190222
1724,20230224
1725,20230214
1726,20220215
1727,20190219
1728,20210223
1729,20200218
1730,20230131
1731,20190206
1732,20200205
1733,20210210
1734,20220202
1735,20191120
1736,20211124
1737,20201125
1738,20231121
1739,20221129
1740,20200225
1741,20210224
1742,20190226
1743,20230227
1744,20220224
1745,20231215
1746,20211216
1747,20201217
1748,20191219
1749,20221215
1750,20230126
1751,20220127
1752,20190131
1753,20210128
1754,20200130
1755,20200214
1756,20220216
1757,20190215
1758,20210212
1759,20230216
1760,20220908
1761,20230907
1762,20190905
1763,20200903
1764,20210909
1765,20220224
1766,20230224
1767,20210225
1768,20230208
1769,20190228
1770,20220209
1771,20200218
1772,20210216
1773,20230207
1774,20190213
1775,20200210
1776,20210209
1777,20220209
1778,20220223
1779,20210225
1780,20200226
1781,20230222
1782,20190227
1783,20210812
1784,20230808
1785,20190806
1786,20200811
1787,20220812
1788,20230221
1789,20220222
1790,20200224
1791,20190221
1792,20210225
1793,20190222
1794,20210219
1795,20220218
1796,20200302
1797,20230223
1798,20220215
1799,20230216
1800,20190213
1801,20200213
1802,20220211
1803,20210212
1804,20230210
1805,20230223
1806,20211217
1807,20221215
1808,20191218
1809,20201217
1810,20231215
1811,20221216
1812,20211217
1813,20201218
1814,20191220
1815,20231214
1816,20230210
1817,20220203
1818,20210210
1819,20200207
1820,20190204
1821,20200220
1822,20210222
1823,20220216
1824,20230222
1825,20190220
1826,20230130
1827,20200204
1828,20190205
1829,20210201
1830,20220131
1831,20200227
1832,20190226
1833,20230222
1834,20220223
1835,20210224
1836,20210526
1837,20200520
1838,20220525
1839,20190524
1840,20230524
1841,20210218
1842,20200220
1843,20190220
1844,20220217
1845,20230227
1846,20220301
1847,20210226
1848,20220223
1849,20190227
1850,20230222
1851,20200226
1852,20210224
1853,20200211
1854,20220225
