File Name,File Type,Date,Number of Sentences,Sentiment Index
bowman20210909a,FOMC_Speech,20210909,0,0
bernanke20120806a,FOMC_Speech,20120806,3,0
quarles20190709a,FOMC_Speech,20190709,0,0
brainard20220525a,FOMC_Speech,20220525,7,0.14285714285714285
quarles20200923a,FOMC_Speech,20200923,49,-0.346938776
quarles20190820a,FOMC_Speech,20190820,1,0
yellen20150303a,FOMC_Speech,20150303,1,0
powell20210503a,FOMC_Speech,20210503,6,0
brainard20170728a,FOMC_Speech,20170728,0,0
fischer20140811a,FOMC_Speech,20140811,79,-0.341772152
brainard20201110a,FOMC_Speech,20201110,1,0
brainard20170905a,FOMC_Speech,20170905,85,-0.105882353
bowman20240710a,FOMC_Speech,20240710,3,0
brainard20220708a,FOMC_Speech,20220708,3,0
powell20171012a,FOMC_Speech,20171012,35,0
cook20230216a,FOMC_Speech,20230216,1,0
cook20240401a,FOMC_Speech,20240401,0,0
powell20211129a,FOMC_Speech,20211129,0,0
bowman20200227a,FOMC_Speech,20200227,1,0
waller20240521a,FOMC_Speech,20240521,49,0.24489795918367346
clarida20211130a,FOMC_Speech,20211130,21,-0.238095238
bernanke20120216a,FOMC_Speech,20120216,8,-0.375
brainard20171115a,FOMC_Speech,20171115,1,0
waller20230208a,FOMC_Speech,20230208,84,0.40476190476190477
quarles20180226a,FOMC_Speech,20180226,97,-0.103092784
barr20231002a,FOMC_Speech,20231002,58,0.20689655172413793
waller20240624a,FOMC_Speech,20240624,5,0.4
yellen20161219a,FOMC_Speech,20161219,15,0
brainard20161007a,FOMC_Speech,20161007,0,0
waller20240327a,FOMC_Speech,20240327,62,0.12903225806451613
waller20220530a,FOMC_Speech,20220530,101,0.38613861386138615
bowman20240403a,FOMC_Speech,20240403,8,0
bowman20201119a,FOMC_Speech,20201119,10,-0.6
clarida20181025a,FOMC_Speech,20181025,56,0.10714285714285714
quarles20180119a,FOMC_Speech,20180119,4,0
powell20190206a,FOMC_Speech,20190206,6,0.3333333333333333
brainard20180403a,FOMC_Speech,20180403,19,0.21052631578947367
bowman20231002a,FOMC_Speech,20231002,20,0.65
raskin20130717a,FOMC_Speech,20130717,26,0.23076923076923078
brainard20180531a,FOMC_Speech,20180531,52,0.076923077
cook20231108a,FOMC_Speech,20231108,19,0.15789473684210525
clarida20201014a,FOMC_Speech,20201014,23,-0.347826087
